category,subcategory,brand,model,wattage
EV Charger,EV Charger,ChargePoint,CPE280,2753.7778
EV Charger,EV Charger,ChargePoint,CPE280,2753.7778
EV Charger,EV Charger,Zerova,DQW*35240##2**,2711.1111
EV Charger,EV Charger,Zerova,DQW*35220##2*#,2711.1111
EV Charger,EV Charger,PHIHONG,DSWU122J0UD,813.3333
EV Charger,EV Charger,PHIHONG,DSWU182J0UD,748.8889
EV Charger,EV Charger,Injet,iNSCDA150K1,453.5244
EV Charger,EV Charger,CHARGECORE,ADC002C190NACS90-300,378.4933
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,370.4444
EV Charger,EV Charger,SK Signet,FC200K-B2-PS-H6,361.7778
EV Charger,EV Charger,PHIHONG,DSWU601J0UD,357.7778
EV Charger,EV Charger,Hyperian,CS-240-D300-2,345.6200
EV Charger,EV Charger,Star Charge,DC2400AN06702,345.6200
EV Charger,EV Charger,Rivian,PT01359256,345.1289
EV Charger,EV Charger,Chaevi,Duoconic,341.3333
EV Charger,EV Charger,Injet,iNSCDA180K1,333.8578
EV Charger,EV Charger,EVBOX,EVBox Troniq Modular,333.1111
EV Charger,EV Charger,Zerova,DQW*24240##2*#,326.6667
EV Charger,EV Charger,Zerova,DQW*24220##2*#,326.6667
EV Charger,EV Charger,Tellus Power,TP-EVPD-180KW,315.9822
EV Charger,EV Charger,Star Charge,DH-DC0600HG58-H,307.7778
EV Charger,EV Charger,PHIHONG,DSWU152J0UD,302.2222
EV Charger,EV Charger,XCHARGE,C6AM150CC,284.1378
EV Charger,EV Charger,ABB,Terra 184 CC,282.8889
EV Charger,EV Charger,Chaevi,Duoconic,278.0000
EV Charger,EV Charger,Zerova,DSWA182A0AD,249.1111
EV Charger,EV Charger,PHIHONG,DSWU901J0UD,246.6667
EV Charger,EV Charger,BTCPower,L3A-180-480-501,240.0089
EV Charger,EV Charger,BTCPower,HPCT3-360-480-1,233.0156
EV Charger,EV Charger,"EVSIS Co., Ltd",JC-9932-240-CT,223.7778
EV Charger,EV Charger,CHARGECORE,LDC001C1175NACS175-LC,223.3867
EV Charger,EV Charger,XCHARGE,C6AM90CC,218.5022
EV Charger,EV Charger,BTCPower,Power cabinet,215.0067
EV Charger,EV Charger,CENNTRO,DCC160C160,209.2689
EV Charger,EV Charger,Star Charge,DC1800AN116**,206.5089
EV Charger,EV Charger,Chaevi,Duoconic,203.3333
EV Charger,EV Charger,Delta,EIDD-U350SSUUAEG-350,197.2044
EV Charger,EV Charger,Star Charge,DC1200AN116**,184.1111
EV Charger,EV Charger,POWER ELECTRONICS ESPANA SL,NB Stand-Alone serie,182.3000
EV Charger,EV Charger,EATON,Green Motion 150 kW DC EV Charger,167.3111
EV Charger,EV Charger,Chaevi,Sonic,166.0000
EV Charger,EV Charger,Star Charge,DC1800AN164**,152.0511
EV Charger,EV Charger,Tellus Power,TP-EVPD-120KW,140.7844
EV Charger,EV Charger,Chaevi,Sonic,135.1111
EV Charger,EV Charger,AUTEL,UF120C3001,131.1111
EV Charger,EV Charger,AUTEL,UF120A3001,131.1111
EV Charger,EV Charger,Atlas,Atlas D160-US-PRO,131.1111
EV Charger,EV Charger,Tellus Power,TP-EVPD-300KW,129.7222
EV Charger,EV Charger,"EVSIS Co., Ltd",JC-9932-180-CT,128.6667
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,126.6667
EV Charger,EV Charger,Chaevi,Sonic,121.1111
EV Charger,EV Charger,Star Charge,DC1500AN116**,96.6778
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,86.8889
EV Charger,EV Charger,Hyperian,CS-240-D200S1-1,86.4444
EV Charger,EV Charger,Star Charge,DC2400AN053,86.4444
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,78.8889
EV Charger,EV Charger,Heliox,HE9823005-01,78.1067
Kitchen,Oven,Alto-Shaam - Prodigi Classic,CTC20-20E,76.4
Kitchen,Oven,Alto-Shaam - Prodigi Pro,CTP20-20E,76.4
EV Charger,EV Charger,EATON,Green Motion 125 kW DC EV Charger,76.1778
EV Charger,EV Charger,Zerova,DOWU362000D,74.8889
Kitchen,Oven,UNOX S.p.A.,XAVL-2021-DP*S,71
Kitchen,Oven,Rational AG,iCombiPro 20-full elec.,67.9
EV Charger,EV Charger,Espen,EVC/D120/SXXX/EWG,66.2222
EV Charger,EV Charger,Zerova,DSWA122I0ID,66.2222
EV Charger,EV Charger,SK Signet,SHDP350K-NCC-PS with  HPC175K-PS,64.8889
EV Charger,EV Charger,Atlas,Atlas D160-US,62.2222
Kitchen,Oven,BKI,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Blodgett,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Blodgett,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,BKI,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Dieta,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Dieta,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Firex,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Firex,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Fri-Jado,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Fri-Jado,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Houno,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Houno,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Leventi,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Leventi,Invoq Hybrid 20 2/1 GN,62.2
Kitchen,Oven,Sveba Dahlen,Invoq Combi 20 2/1 GN,62.2
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 20 2/1 GN,62.2
EV Charger,EV Charger,EATON,Green Motion 75 kW DC EV Charger,59.5711
EV Charger,EV Charger,BTC Power,HPCD5-200-05-000,55.3333
EV Charger,EV Charger,Tellus Power,TP-EVPD-60KW,52.4689
Kitchen,Oven,Angelo Po,FX82G3,52
EV Charger,EV Charger,Espen,EVC/D180/SXXX/EWG,48.8889
EV Charger,EV Charger,Zerova,DSWU182T0TD,48.8889
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,48.4444
EV Charger,EV Charger,Star Charge,Electric Vehicle Supply Equipment,39.7778
EV Charger,EV Charger,Injet,iNSCDA240K1,39.6178
EV Charger,EV Charger,Star Charge,DC2400AN14801,39.1000
Kitchen,Oven,UNOX S.p.A.,XA*A-10FS-EX*S-***,38.8
Kitchen,Oven,UNOX S.p.A.,XECL-2013-YP*S-***,38.5
Kitchen,Oven,UNOX S.p.A.,XEVL-2011-DP*S-***,38.5
Kitchen,Oven,UNOX S.p.A.,XEVL-2011-YP*S-***,38.5
EV Charger,EV Charger,AUTEL,Maxi UF38C001,38.4000
EV Charger,EV Charger,AUTEL,Maxi UF38L101,38.4000
EV Charger,EV Charger,InCharge Energy,ICE Dual 80AC,38.4000
EV Charger,EV Charger,Zemetric Inc,Shasta-160,38.4000
Kitchen,Oven,BKI,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Blodgett,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Blodgett,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,BKI,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Dieta,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Dieta,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Firex,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Firex,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Fri-Jado,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Fri-Jado,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Houno,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Houno,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Leventi,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Leventi,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Sveba Dahlen,Invoq Combi 20 1/1 GN,38.2
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 20 1/1 GN,38.2
Kitchen,Oven,Electrolux Professional,COE12T30,37.4
Kitchen,Oven,Rational AG,iCombiPro 10-full elec.,37.4
Kitchen,Oven,Rational AG,iCombiPro 20-half elec.,37
Kitchen,Oven,Alto-Shaam - Prodigi Pro,CTP10-20E,36.809
Kitchen,Oven,UNOX S.p.A.,XEDA-1021-EX*S,35.8
EV Charger,EV Charger,AUTEL,UF160A4001,35.5556
EV Charger,EV Charger,AUTEL,UF160C4001,35.5556
Kitchen,Oven,UNOX S.p.A.,XEDA-1021-EX*S-SL,35.4
EV Charger,EV Charger,PHIHONG,DSWU901U0UD,35.3333
Kitchen,Oven,Vulcan,TCM-102E,32
Kitchen,Oven,Henny Penny,FPE215,31.6
Kitchen,Oven,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD215T,31.6
Kitchen,Oven,BKI,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Blodgett,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Blodgett,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,BKI,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Dieta,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Dieta,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Firex,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Firex,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Fri-Jado,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Fri-Jado,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Houno,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Houno,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Leventi,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Leventi,Invoq Hybrid 10 2/1 GN,31.3
Kitchen,Oven,Sveba Dahlen,Invoq Combi 10 2/1 GN,31.3
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 10 2/1 GN,31.3
EV Charger,EV Charger,PHIHONG,DSWU122U0UD,30.2222
EV Charger,EV Charger,Zerova,DSWU182J0TD,28.8889
Kitchen,Oven,"Atosa, STARBRIDGE",EPA-1021E3,28.8
Kitchen,Oven,Convotherm,C4eD 10.20 ES-N,27.4
Kitchen,Oven,Convotherm,C4eT 10.20 ES-N,27.4
Kitchen,Oven,Henny Penny,FPE121,27.3
Kitchen,Oven,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD121T,27.3
EV Charger,EV Charger,PHIHONG,DSWU152U0UD,25.5556
Kitchen,Oven,Alto-Shaam - Prodigi Pro,CTP7-20E,25.5
Kitchen,Oven,Angelo Po,FX82G3,25.5
Kitchen,Oven,UNOX S.p.A.,XA*A-06FS-EX*S-***,25
Kitchen,Oven,UNOX S.p.A.,XEDA-0621-EX*S,23.1
EV Charger,EV Charger,Joint,JNT-EVM005/2*48AC/01C/XX/RF/4G,23.0400
EV Charger,EV Charger,BTCPower,EVP-200#-##-*,22.4000
Kitchen,Oven,Rational AG,iCombiPro 6-full elec.,22.4
Kitchen,Oven,Rational AG,iCombiClassic 6-full elec.,22.4
Kitchen,Oven,BKI,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Blodgett,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Blodgett,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,BKI,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Dieta,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Dieta,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Firex,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Firex,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Fri-Jado,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Fri-Jado,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Houno,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Houno,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Leventi,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Leventi,Invoq Hybrid 6 2/1 GN,22.3
Kitchen,Oven,Sveba Dahlen,Invoq Combi 6 2/1 GN,22.3
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 6 2/1 GN,22.3
EV Charger,EV Charger,Espen,EVC/D060/SXXX/EWG,22.2222
EV Charger,EV Charger,Zerova,DSWU601U0UD,22.2222
Kitchen,Oven,Convotherm,C4eD 10.20 EB,22.1
Kitchen,Oven,Convotherm,C4eD 10.20 EB-N,22.1
Kitchen,Oven,Convotherm,C4eT 10.20 EB,22.1
Kitchen,Oven,Convotherm,C4eT 10.20 EB-N,22.1
EV Charger,EV Charger,LG Electronics Inc,"EVD175SK-**, EVP175NK-**",21.5556
Kitchen,Oven,Electrolux Professional,COE62T30,21.4
Kitchen,Oven,UNOX S.p.A.,XAVC-10FS-EP*M-***,21.3
Kitchen,Oven,UNOX S.p.A.,XA*A-1011-EX*S-***,21.2
Kitchen,Oven,Blodgett,BCT-62,21
Kitchen,Oven,UNOX S.p.A.,XELA-10EU-EXRS,21
EV Charger,EV Charger,Sinexcel,DC Electric Vehicle Charging Station,19.7778
Kitchen,Oven,Angelo Po,FX82E3T,19.73
Kitchen,Oven,UNOX S.p.A.,XEDA-1011-EX*S,19.6
Kitchen,Oven,BKI,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Blodgett,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Blodgett,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Dieta,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,BKI,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Dieta,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Firex,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Firex,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Fri-Jado,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Fri-Jado,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Houno,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Houno,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Leventi,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Leventi,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Sveba Dahlen,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 10 1/1 GN (PT),19.3
EV Charger,EV Charger,ChargePoint,CP6000,19.2000
EV Charger,EV Charger,ChargePoint,CP6000,19.2000
EV Charger,EV Charger,ChargePoint,CP6000 CP6011B-50A-L5.5 CP6013B-50A-L5.5 CP6011B-50A-L5.5-CHIP CP6013B-50A-L5.5-CHIP CP6011B-50A-L7 CP6013B-50A-L7 CP6011B-80A-L5.5 CP6013B-80A-L5.5 CP6011B-80A-L5.5-CHIP CP6013B-80A-L5.5-CHIP CP6011B-80A-L7,19.2000
